domain,direction,source_id,source_text,target_text,semantic_cosine,semantic_flag_low
medical,en->fj,medical|medical_misc|1a19128e35a7,Private doctors approved by the Ministry can also provide medical certificates for self-isolation.,Na vuniwai taucoko era sa vakadonuya na matanitu e rawa tale ga ni solia na ivola ni tiko vakatikitiki e vale.,-0.20704156,True
medical,fj->en,medical|medical_misc|1a19128e35a7,Na vuniwai taucoko era sa vakadonuya na matanitu e rawa tale ga ni solia na ivola ni tiko vakatikitiki e vale.,Private doctors approved by the Ministry can also provide medical certificates for self-isolation.,-0.20704156,True
legal,fj->en,constitution|109(13),na matabose me na solia wasoma na itukutuku kei na vakasala i na palimedi me baleta na nona itavi kei na kena qaravi.,the commission shall provide regular updates and advice to parliament on any matter relating to its functions and responsibilities.,-0.18444723,True
legal,en->fj,constitution|109(13),the commission shall provide regular updates and advice to parliament on any matter relating to its functions and responsibilities.,na matabose me na solia wasoma na itukutuku kei na vakasala i na palimedi me baleta na nona itavi kei na kena qaravi.,-0.18444723,True
legal,en->fj,constitution|150(3)(c),all transactions with or concerning the public money or public property of the state.,itukutuku vakailavo kece baleta na ilavo se iyau ni matanitu.,-0.181692,True
legal,fj->en,constitution|150(3)(c),itukutuku vakailavo kece baleta na ilavo se iyau ni matanitu.,all transactions with or concerning the public money or public property of the state.,-0.181692,True
legal,en->fj,constitution|150(10),"the auditor-general shall have control of the budget and finances of the office of the auditor-general, as approved by parliament.","na daunifika levu me na vakatulewataka na ituvatuva vakailavo ni valenivolavola ni daunifika levu, me vaka e sa vakadonui mai palimedi.",-0.16455719,True
legal,fj->en,constitution|150(10),"na daunifika levu me na vakatulewataka na ituvatuva vakailavo ni valenivolavola ni daunifika levu, me vaka e sa vakadonui mai palimedi.","the auditor-general shall have control of the budget and finances of the office of the auditor-general, as approved by parliament.",-0.16455719,True
legal,en->fj,constitution|123(d),"efficient, effective and economic use of public resources;",vakayagataki vakamatau ni iyau ni matanitu;,-0.16126382,True
legal,fj->en,constitution|123(d),vakayagataki vakamatau ni iyau ni matanitu;,"efficient, effective and economic use of public resources;",-0.16126381,True
medical,fj->en,medical|medical_misc|55b18dd0c23d,Na vuniwai taucoko e rawa ni solia na ivola ni tauvimate.,Private doctors can issue certificates.,-0.15522175,True
medical,en->fj,medical|medical_misc|55b18dd0c23d,Private doctors can issue certificates.,Na vuniwai taucoko e rawa ni solia na ivola ni tauvimate.,-0.15522175,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0003271,tourists,"now are insufficiently fired to be strong enough to contain water. some water pots were not glazed, to allow evaporation that kept the water cool. the only fanciful pots have been small water",-0.14954707,True
legal,en->fj,constitution|90(3)(i)(ii),is qualified to be a candidate for election to parliament under section .,e rawa ni mata ena veidigidigi ena palimedi me vaka e virikotori ena tikina .,-0.14672086,True
legal,fj->en,constitution|90(3)(i)(ii),e rawa ni mata ena veidigidigi ena palimedi me vaka e virikotori ena tikina .,is qualified to be a candidate for election to parliament under section .,-0.14672086,True
legal,fj->en,constitution|90(4),na mataveilewai e cake e tu vua na kaukauwa me vakatulewa ena dua na kisi me baleta na yavunivakavulewa qo se na kena vakadewataki.,the high court also has original jurisdiction in any matter arising under this,-0.14341316,True
legal,en->fj,constitution|90(4),the high court also has original jurisdiction in any matter arising under this,na mataveilewai e cake e tu vua na kaukauwa me vakatulewa ena dua na kisi me baleta na yavunivakavulewa qo se na kena vakadewataki.,-0.14341316,True
legal,en->fj,constitution|8(2),"every citizen has the right to apply for and be issued a passport or similar travel document, in accordance with any condition prescribed by written law.","na tamata yadua e bulia tiko e dua na lawasau, se tabaka e dua na ivola e tiko kina na kaukauwa vakalawa e dodonu me solia e dua na gauna mera vakaitavi na lewenivanua ena kena buli kei na raicilesu na tikinilawa ni se bera ni tabaki. kaukauwa ni palimedi me baleta na veidinadinati kei na veimatanitu",-0.14305949,True
legal,fj->en,constitution|8(2),"na tamata yadua e bulia tiko e dua na lawasau, se tabaka e dua na ivola e tiko kina na kaukauwa vakalawa e dodonu me solia e dua na gauna mera vakaitavi na lewenivanua ena kena buli kei na raicilesu na tikinilawa ni se bera ni tabaki. kaukauwa ni palimedi me baleta na veidinadinati kei na veimatanitu","every citizen has the right to apply for and be issued a passport or similar travel document, in accordance with any condition prescribed by written law.",-0.14305949,True
legal,en->fj,constitution|150(9),"parliament shall ensure that adequate funding and resources are made available to the auditor-general, to enable him or her to independently and effectively exercise his or her powers and perform his or her functions and duties.","na palimedi me vakadeitaka ni na vakarautaki e dua na ivotavota vakailavo vua na daunifika levu, me rawa ni vakatulewa ka qarava ga vakaikoya na nona itavi.",-0.14070182,True
legal,fj->en,constitution|150(9),"na palimedi me vakadeitaka ni na vakarautaki e dua na ivotavota vakailavo vua na daunifika levu, me rawa ni vakatulewa ka qarava ga vakaikoya na nona itavi.","parliament shall ensure that adequate funding and resources are made available to the auditor-general, to enable him or her to independently and effectively exercise his or her powers and perform his or her functions and duties.",-0.14070182,True
legal,en->fj,constitution|90(5),"the high court has jurisdiction, subject to conferral by written law of rights of appeal and to such requirements as may be prescribed by written law, to hear and determine appeals from all judgments of the magistrates court and other subordinate courts.","na mataveilewai e cake e tu vua na kaukauwa, ia ena kena vakadeitaki mai na lawa tabaki, me na rogoca tale ka vakatulewa ena kisi e kau cake mai na mataveilewai e ra kei na vei mataveilewai lalai tale e so.",-0.13714156,True
legal,fj->en,constitution|90(5),"na mataveilewai e cake e tu vua na kaukauwa, ia ena kena vakadeitaki mai na lawa tabaki, me na rogoca tale ka vakatulewa ena kisi e kau cake mai na mataveilewai e ra kei na vei mataveilewai lalai tale e so.","the high court has jurisdiction, subject to conferral by written law of rights of appeal and to such requirements as may be prescribed by written law, to hear and determine appeals from all judgments of the magistrates court and other subordinate courts.",-0.13714156,True
legal,en->fj,constitution|40,environmental rights,dodonu ni tamata me baleta na veikabula,-0.13392295,True
legal,fj->en,constitution|40,dodonu ni tamata me baleta na veikabula,environmental rights,-0.13392295,True
legal,fj->en,constitution|120,mataveivaqaqai ni kudru ni cakacaka vakamatanitu,public service disciplinary tribunal,-0.13176952,True
legal,en->fj,constitution|120,public service disciplinary tribunal,mataveivaqaqai ni kudru ni cakacaka vakamatanitu,-0.13176948,True
legal,en->fj,constitution|109(16),"the salaries, benefits and allowances payable to any person employed in the commission are a charge on the consolidated fund.","na isau, idole kei na oco, e saumi vua na lewenimatabose me tauri mai na umailavo cokovata ni matanitu.",-0.12793532,True
legal,fj->en,constitution|109(16),"na isau, idole kei na oco, e saumi vua na lewenimatabose me tauri mai na umailavo cokovata ni matanitu.","the salaries, benefits and allowances payable to any person employed in the commission are a charge on the consolidated fund.",-0.12793532,True
legal,fj->en,constitution|124(4),na matabose me na solia wasoma na itukutuku kei na ivakasala vua na palimedi me baleta na nona itavi kei na kena qaravi.,the commission shall provide regular updates and advice to parliament on any matter relating to its functions and responsibilities.,-0.12689142,True
legal,en->fj,constitution|124(4),the commission shall provide regular updates and advice to parliament on any matter relating to its functions and responsibilities.,na matabose me na solia wasoma na itukutuku kei na ivakasala vua na palimedi me baleta na nona itavi kei na kena qaravi.,-0.12689142,True
legal,en->fj,constitution|90(7)(b),such other magistrates as are appointed by the judicial services commission.,ira tale na daunilewa ni mataveilewai e ra era digitaki mai na matabose veiqaravi ni mataveilewai.,-0.12612367,True
legal,fj->en,constitution|90(7)(b),ira tale na daunilewa ni mataveilewai e ra era digitaki mai na matabose veiqaravi ni mataveilewai.,such other magistrates as are appointed by the judicial services commission.,-0.12612367,True
medical,en->fj,medical|medical_misc|bef554251daf,The booklet covers brain health and risk reduction.,E vakamacalataki talega ena ivola na bulabula ni mona kei na kena vakalailaitaki na vakatarausui ni mate.,-0.12453007,True
medical,fj->en,medical|medical_misc|bef554251daf,E vakamacalataki talega ena ivola na bulabula ni mona kei na kena vakalailaitaki na vakatarausui ni mate.,The booklet covers brain health and risk reduction.,-0.12453007,True
legal,en->fj,constitution|150(2)(b),expenditure has been applied to the purpose for which it was authorised.,inaki ni kena vakayagataki na ilavo me vaka sa vakadonui taumada.,-0.12448497,True
legal,fj->en,constitution|150(2)(b),inaki ni kena vakayagataki na ilavo me vaka sa vakadonui taumada.,expenditure has been applied to the purpose for which it was authorised.,-0.12448497,True
legal,en->fj,constitution|109(4),the members of the commission shall be appointed for a term of years and shall be eligible for re-appointment.,na lewenimatabose ena veiqaravi me na yabaki ka rawa ni digitaki tale me veiqaravi.,-0.12154327,True
legal,fj->en,constitution|109(4),na lewenimatabose ena veiqaravi me na yabaki ka rawa ni digitaki tale me veiqaravi.,the members of the commission shall be appointed for a term of years and shall be eligible for re-appointment.,-0.12154327,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0006195,that time,a fair number of men owned no shirt and no sandals and most men wore a isulu rather than trousers.,-0.11297283,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0007539,housewives,boil down lard to use cooking fat because it is cheaper than commercial brands of,-0.112027474,True
medical,en->fj,medical|medical_misc|bd03ce544cc6,Monitor high-risk individuals closely.,Vakaraica vakavinaka o ira era tiko ena iwasewase ni rerevaki vakalevu.,-0.11027908,True
medical,fj->en,medical|medical_misc|bd03ce544cc6,Vakaraica vakavinaka o ira era tiko ena iwasewase ni rerevaki vakalevu.,Monitor high-risk individuals closely.,-0.11027908,True
legal,fj->en,constitution|109(12)(c),"na isau, idole kei na oco me saumi, e dodonu me veiganiti kei na ivotavota vakailavo e vakadonuya na palimedi; kei na","the salaries, benefits and allowances payable, in accordance with its budget as approved by parliament; and",-0.109729975,True
legal,en->fj,constitution|109(12)(c),"the salaries, benefits and allowances payable, in accordance with its budget as approved by parliament; and","na isau, idole kei na oco me saumi, e dodonu me veiganiti kei na ivotavota vakailavo e vakadonuya na palimedi; kei na",-0.109729975,True
legal,fj->en,constitution|52(2)(b),e volai ena ivola ni volayaca ni veidigidigi;,is registered on the register of voters;,-0.108415104,True
legal,en->fj,constitution|52(2)(b),is registered on the register of voters;,e volai ena ivola ni volayaca ni veidigidigi;,-0.108415075,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0006941,especially,"on koro island but also elsewhere. on bau island the butoni had constructed the council house called naulunivuaka, with a separate door for each of their tribes.",-0.10226697,True
legal,en->fj,constitution|80(4),the president shall open each annual session of parliament with an address outlining the policies and programmes of the government. president acts on advice,na peresitedi me dolava na imatai ni bose ni palimedi ka vakamacalataka na polisi kei na ituvatuva ni matanitu ena veiyabaki. peresitedi e vakatulewa ena ivakasala,-0.09803787,True
legal,fj->en,constitution|80(4),na peresitedi me dolava na imatai ni bose ni palimedi ka vakamacalataka na polisi kei na ituvatuva ni matanitu ena veiyabaki. peresitedi e vakatulewa ena ivakasala,the president shall open each annual session of parliament with an address outlining the policies and programmes of the government. president acts on advice,-0.09803787,True
legal,en->fj,constitution|114,independent legal services commission,matabose ni lawa tuvakaikoya,-0.097466834,True
legal,fj->en,constitution|114,matabose ni lawa tuvakaikoya,independent legal services commission,-0.09746677,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0005065,adult,"shark meat is soft and relatively tasteless, except for the mako shark where the flesh is firm and white, rather like the swordfish. shark flesh has been reported as occasionally poisonous but more often ,",-0.096189596,True
legal,fj->en,constitution|82(2),"ena vuku ni wasetiki (), ena kena vakadeitaki nona digitaki se tosoi na nona veiqaravi e dua, ena vakabau na nona veiqaravi taumada ni se bera ni taurivaki na","for the purposes of subsection (), in determining whether a person is eligible for appointment or re-appointment, any period served before the commencement of this",-0.0941339,True
legal,en->fj,constitution|82(2),"for the purposes of subsection (), in determining whether a person is eligible for appointment or re-appointment, any period served before the commencement of this","ena vuku ni wasetiki (), ena kena vakadeitaki nona digitaki se tosoi na nona veiqaravi e dua, ena vakabau na nona veiqaravi taumada ni se bera ni taurivaki na",-0.0941339,True
legal,fj->en,constitution|70(9),"na isau, idole kei na oco me soli vua na vunivola levu ni palimedi kei ira na vakailesilesi ni palimedi me saumi mai ena umailavo cokovata ni matanitu.","the salaries, benefits and allowances payable to the secretary-general to parliament and any person employed in parliament are a charge on the consolidated fund.",-0.094124585,True
legal,en->fj,constitution|70(9),"the salaries, benefits and allowances payable to the secretary-general to parliament and any person employed in parliament are a charge on the consolidated fund.","na isau, idole kei na oco me soli vua na vunivola levu ni palimedi kei ira na vakailesilesi ni palimedi me saumi mai ena umailavo cokovata ni matanitu.",-0.094124585,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0008813,trees,are often used.) fijians had never cultivated it and they never used it in body oil before contact,-0.09299204,True
legal,fj->en,constitution|90(3),na mataveilewai e cake e tu vua na kaukauwa me rogoca na kisi taucoko me vaka e virikotori ena yavunivakavulewa qo se na lawa tabaki tale e so.,the high court has unlimited original jurisdiction to hear and determine any civil or criminal proceedings under any law and such other original jurisdiction as is conferred on it under this constitution or any written law.,-0.09209524,True
legal,en->fj,constitution|90(3),the high court has unlimited original jurisdiction to hear and determine any civil or criminal proceedings under any law and such other original jurisdiction as is conferred on it under this constitution or any written law.,na mataveilewai e cake e tu vua na kaukauwa me rogoca na kisi taucoko me vaka e virikotori ena yavunivakavulewa qo se na lawa tabaki tale e so.,-0.09209524,True
medical,fj->en,medical|medical_misc|e23afd13c4b9,E dolavi tiko na laini ni veitokoni.,Support lines are open.,-0.09131012,True
medical,en->fj,medical|medical_misc|e23afd13c4b9,Support lines are open.,E dolavi tiko na laini ni veitokoni.,-0.09131012,True
legal,en->fj,constitution|109(17),"parliament shall ensure that adequate funding and resources are made available to the commission, to enable it to independently and effectively exercise its powers and perform its functions and duties.","na palimedi me raica me veiganiti na ivotavota vakailavo kei na veika e gadrevi ena cakacaka ni matabose, qo me rawa ni vakayagataka vinaka ka vakayagataka ena galala na kaukauwa e tiko vua, ena qaravi ni itavi.",-0.091077685,True
legal,fj->en,constitution|109(17),"na palimedi me raica me veiganiti na ivotavota vakailavo kei na veika e gadrevi ena cakacaka ni matabose, qo me rawa ni vakayagataka vinaka ka vakayagataka ena galala na kaukauwa e tiko vua, ena qaravi ni itavi.","parliament shall ensure that adequate funding and resources are made available to the commission, to enable it to independently and effectively exercise its powers and perform its functions and duties.",-0.091077685,True
legal,fj->en,constitution|90(6),na mataveilewai e cake e tu vua na kaukauwa me vakasala ena kisi taucoko e rogoci ena mataveilewai e ra se mataveilewai lalai tale e so ka rawa tale ga ni solia na vakatulewa tale e so kevaka e gadreva ena kena cicivaki vakavinaka na mataveilewai e ra kei na mataveilewai lalai tale e so.,"the high court has jurisdiction to supervise any civil or criminal proceedings before a magistrates court or other subordinate courts and may, on an application duly made to it, make such orders, issue such writs and give such directions as it considers appropriate to ensure that justice is duly administered by the magistrates court and other subordinate courts.",-0.09081312,True
legal,en->fj,constitution|90(6),"the high court has jurisdiction to supervise any civil or criminal proceedings before a magistrates court or other subordinate courts and may, on an application duly made to it, make such orders, issue such writs and give such directions as it considers appropriate to ensure that justice is duly administered by the magistrates court and other subordinate courts.",na mataveilewai e cake e tu vua na kaukauwa me vakasala ena kisi taucoko e rogoci ena mataveilewai e ra se mataveilewai lalai tale e so ka rawa tale ga ni solia na vakatulewa tale e so kevaka e gadreva ena kena cicivaki vakavinaka na mataveilewai e ra kei na mataveilewai lalai tale e so.,-0.09081311,True
legal,en->fj,constitution|134(6)(d),legal aid commission;,matabose ni veivuke vakalawa;,-0.0903986,True
legal,fj->en,constitution|134(6)(d),matabose ni veivuke vakalawa;,legal aid commission;,-0.09039859,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0008507,waqaqa,"n. filiarasis infection that ultimately, after about ten years, may result in elephantiasis (tauna)",-0.08913007,True
legal,en->fj,constitution|157(13),a reference in this constitution to an office named in this constitution is to be read with any formal alteration necessary to make it applicable in the circumstances.,na kena cavuti e dua na valenivolavola ena yavunivakavulewa qo me wiliki kina na veisau e rawa ni yaco ena yacana.,-0.08902927,True
legal,fj->en,constitution|157(13),na kena cavuti e dua na valenivolavola ena yavunivakavulewa qo me wiliki kina na veisau e rawa ni yaco ena yacana.,a reference in this constitution to an office named in this constitution is to be read with any formal alteration necessary to make it applicable in the circumstances.,-0.08902927,True
conversational,en->fj,conversational|years_4_5|00029,the mango is still unripe.,e se vou na maqo.,-0.08853753,True
conversational,fj->en,conversational|years_4_5|00029,e se vou na maqo.,the mango is still unripe.,-0.08853751,True
legal,fj->en,constitution|102(2)(c),"na isau, idole, kei na oco me saumi e dodonu me veiganiti kei na ivotavota vakailavo e vakadonuya na palimedi; kei na","the salaries, benefits and allowances payable, in accordance with its budget as approved by parliament; and",-0.088515475,True
legal,en->fj,constitution|102(2)(c),"the salaries, benefits and allowances payable, in accordance with its budget as approved by parliament; and","na isau, idole, kei na oco me saumi e dodonu me veiganiti kei na ivotavota vakailavo e vakadonuya na palimedi; kei na",-0.088515475,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0003145,kakua,definitely don't (stronger prohibition).,-0.088314116,True
legal,fj->en,constitution|157(21),"na ikuri e tiki ni yavunivakavulewa qo, kei na veigauna e cavuti kina na “yavunivakavulewa qo” e okati tale ga kina na ikuri.","the schedule is a part of this constitution, and every use of the expression “this constitution” includes the schedule.",-0.08786096,True
legal,en->fj,constitution|157(21),"the schedule is a part of this constitution, and every use of the expression “this constitution” includes the schedule.","na ikuri e tiki ni yavunivakavulewa qo, kei na veigauna e cavuti kina na “yavunivakavulewa qo” e okati tale ga kina na ikuri.",-0.08786096,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0001474,discharge,their eggs. a delicacy is the orange coloured attachment holding the eggs. the eggs themselves are not eaten. the crab wash off (dere) the eggs to disseminate them. male land crabs have a,-0.086584374,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0005741,properly,"refers only to the forest gecko, much more commonly seen in the bush than iguanas are.",-0.08657087,True
legal,en->fj,constitution|150(6)(b),it is necessary to declare a state of emergency to deal effectively with the threatening circumstances.,bibi ni kena vakaraitaki na tikoleqa ni matanitu me rawa ni sotavi na veika ena rawa ni vakavuleqa.,-0.08500224,True
legal,fj->en,constitution|150(6)(b),bibi ni kena vakaraitaki na tikoleqa ni matanitu me rawa ni sotavi na veika ena rawa ni vakavuleqa.,it is necessary to declare a state of emergency to deal effectively with the threatening circumstances.,-0.08500224,True
legal,fj->en,constitution|82(a),"dua e kilai vinaka na nona veiqaravi e viti se veiyasai vuravura, ena tabana vakamatanitu se tabana tuvakaikoya;","has had a distinguished career in any aspect of national or international life, whether in the public or private sector;",-0.08459909,True
legal,en->fj,constitution|82(a),"has had a distinguished career in any aspect of national or international life, whether in the public or private sector;","dua e kilai vinaka na nona veiqaravi e viti se veiyasai vuravura, ena tabana vakamatanitu se tabana tuvakaikoya;",-0.08459909,True
legal,fj->en,constitution|147,yavu ni kena vakayagataki na umailavo cokovata ni matanitu me baleta e so na isau kei na oco,standing appropriation of consolidated fund for payment of certain salaries and allowances,-0.08422612,True
legal,en->fj,constitution|147,standing appropriation of consolidated fund for payment of certain salaries and allowances,yavu ni kena vakayagataki na umailavo cokovata ni matanitu me baleta e so na isau kei na oco,-0.08422612,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0002953,kirikiti,"(eng.) n. cricket (the game), greatly favoured by polynesians, now being played by more fijians with coaching and management by australian aid.",-0.08257219,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0007561,becoming,"more common. they much more often ate the wild species of yam, and taro that they",-0.08239722,True
legal,fj->en,constitution|90(6)(b),"daunilewa tale e so era digitaki mera vakatulewa ena mataveilewai cecere, mera vakaitavi ena gauna e gadrevi kina.","such other judges as are appointed as judges of the supreme court, to serve as the occasion requires.",-0.08222857,True
legal,en->fj,constitution|90(6)(b),"such other judges as are appointed as judges of the supreme court, to serve as the occasion requires.","daunilewa tale e so era digitaki mera vakatulewa ena mataveilewai cecere, mera vakaitavi ena gauna e gadrevi kina.",-0.08222857,True
dictionary,fj->en,dictionary|dictionary_parallel_fj2en|0007030,particular,"cultivar was hardly six feet tall, and thus resistant to wind damage according to seemann.",-0.077662855,True
legal,en->fj,constitution|109(12)(b),"the qualification requirements for appointment and the process to be followed for appointment, which must be an open, transparent and competitive selection process based on merit;","na ivakatagedegede ni vuli e gadrevi kei na ivakarau me vakamuri me baleta na veivakacakacakataki, ka dodonu me dola raraba, vakarawarawataki, valataki vakasavasava, ia na veidigitaki me yavutaki ena rawaka;",-0.07753703,True
legal,fj->en,constitution|109(12)(b),"na ivakatagedegede ni vuli e gadrevi kei na ivakarau me vakamuri me baleta na veivakacakacakataki, ka dodonu me dola raraba, vakarawarawataki, valataki vakasavasava, ia na veidigitaki me yavutaki ena rawaka;","the qualification requirements for appointment and the process to be followed for appointment, which must be an open, transparent and competitive selection process based on merit;",-0.07753703,True
legal,en->fj,constitution|53,proportional representation system,iwalewale ni veidigidigi veiraurau,-0.07741805,True
legal,fj->en,constitution|53,iwalewale ni veidigidigi veiraurau,proportional representation system,-0.07741805,True
legal,en->fj,constitution|109(9),"a written law shall provide the commission with the jurisdiction, authority and powers to receive and investigate complaints against permanent secretaries and all persons holding a public office.",na lawa tabaki ena solia vua na matabose na lewa kei na kaukauwa me ciqoma ka vaqaqa na kudru me baleta na vunivola tudei ni matanitu kei na vakailesilesi ni valenivolavola ni lewenivanua.,-0.077083886,True
legal,fj->en,constitution|109(9),na lawa tabaki ena solia vua na matabose na lewa kei na kaukauwa me ciqoma ka vaqaqa na kudru me baleta na vunivola tudei ni matanitu kei na vakailesilesi ni valenivolavola ni lewenivanua.,"a written law shall provide the commission with the jurisdiction, authority and powers to receive and investigate complaints against permanent secretaries and all persons holding a public office.",-0.077083886,True
legal,en->fj,constitution|61(6),any application made to the court of disputed returns under this section must be determined by the court of disputed returns within days of the date when the application is made to it.,na kerekere e kau cake mai ena mataveilewai ni kudru ni veidigidigi ena tikina qo e dodonu me na vakatulewa kina na mataveilewai ni kudru ni veidigidigi ena loma ni na siga mai na siga e ciqoma kina na kerekere qo.,-0.076255605,True
legal,fj->en,constitution|61(6),na kerekere e kau cake mai ena mataveilewai ni kudru ni veidigidigi ena tikina qo e dodonu me na vakatulewa kina na mataveilewai ni kudru ni veidigidigi ena loma ni na siga mai na siga e ciqoma kina na kerekere qo.,any application made to the court of disputed returns under this section must be determined by the court of disputed returns within days of the date when the application is made to it.,-0.076255605,True
